Match,Team,Alliance,measurement,value,dloc,DefType
86,120,blue,AutoD1Cross,0,1.0,E_LowBar
86,3324,,AutoD1Cross,0,1.0,
86,868,,AutoD1Cross,1,1.0,
86,451,,AutoD1Cross,0,1.0,
86,5492,,AutoD1Cross,0,1.0,
86,5811,blue,AutoD1Cross,0,1.0,E_LowBar
86,120,blue,AutoD1Reach,0,1.0,E_LowBar
86,3324,,AutoD1Reach,0,1.0,
86,868,,AutoD1Reach,1,1.0,
86,451,,AutoD1Reach,0,1.0,
86,5492,,AutoD1Reach,0,1.0,
86,5811,blue,AutoD1Reach,0,1.0,E_LowBar
86,120,blue,AutoD2Cross,0,2.0, 'C_SallyPort'
86,3324,,AutoD2Cross,0,2.0,
86,868,,AutoD2Cross,0,2.0,
86,451,,AutoD2Cross,0,2.0,
86,5492,,AutoD2Cross,0,2.0,
86,5811,blue,AutoD2Cross,0,2.0, 'C_SallyPort'
86,120,blue,AutoD2Reach,0,2.0, 'C_SallyPort'
86,3324,,AutoD2Reach,0,2.0,
86,868,,AutoD2Reach,0,2.0,
86,451,,AutoD2Reach,0,2.0,
86,5492,,AutoD2Reach,0,2.0,
86,5811,blue,AutoD2Reach,0,2.0, 'C_SallyPort'
86,120,blue,AutoD3Cross,0,3.0, 'B_Moat'
86,3324,,AutoD3Cross,1,3.0,
86,868,,AutoD3Cross,0,3.0,
86,451,,AutoD3Cross,0,3.0,
86,5492,,AutoD3Cross,1,3.0,
86,5811,blue,AutoD3Cross,0,3.0, 'B_Moat'
86,120,blue,AutoD3Reach,0,3.0, 'B_Moat'
86,3324,,AutoD3Reach,1,3.0,
86,868,,AutoD3Reach,0,3.0,
86,451,,AutoD3Reach,0,3.0,
86,5492,,AutoD3Reach,1,3.0,
86,5811,blue,AutoD3Reach,0,3.0, 'B_Moat'
86,120,blue,AutoD4Cross,0,4.0, 'D_RockWall'
86,3324,,AutoD4Cross,0,4.0,
86,868,,AutoD4Cross,0,4.0,
86,451,,AutoD4Cross,1,4.0,
86,5492,,AutoD4Cross,0,4.0,
86,5811,blue,AutoD4Cross,0,4.0, 'D_RockWall'
86,120,blue,AutoD4Reach,0,4.0, 'D_RockWall'
86,3324,,AutoD4Reach,0,4.0,
86,868,,AutoD4Reach,0,4.0,
86,451,,AutoD4Reach,1,4.0,
86,5492,,AutoD4Reach,0,4.0,
86,5811,blue,AutoD4Reach,0,4.0, 'D_RockWall'
86,120,blue,AutoD5Cross,1,5.0, 'A_ChevalDeFrise'
86,3324,,AutoD5Cross,0,5.0,
86,868,,AutoD5Cross,0,5.0,
86,451,,AutoD5Cross,0,5.0,
86,5492,,AutoD5Cross,0,5.0,
86,5811,blue,AutoD5Cross,0,5.0, 'A_ChevalDeFrise'
86,120,blue,AutoD5Reach,1,5.0, 'A_ChevalDeFrise'
86,3324,,AutoD5Reach,0,5.0,
86,868,,AutoD5Reach,0,5.0,
86,451,,AutoD5Reach,0,5.0,
86,5492,,AutoD5Reach,0,5.0,
86,5811,blue,AutoD5Reach,0,5.0, 'A_ChevalDeFrise'
86,120,blue,AutoHighShotMade,0,,
86,3324,,AutoHighShotMade,0,,
86,868,,AutoHighShotMade,0,,
86,451,,AutoHighShotMade,0,,
86,5492,,AutoHighShotMade,0,,
86,5811,blue,AutoHighShotMade,0,,
86,120,blue,AutoHighShotAtt,0,,
86,3324,,AutoHighShotAtt,0,,
86,868,,AutoHighShotAtt,0,,
86,451,,AutoHighShotAtt,0,,
86,5492,,AutoHighShotAtt,0,,
86,5811,blue,AutoHighShotAtt,0,,
86,120,blue,AutoLowShotMade,0,,
86,3324,,AutoLowShotMade,0,,
86,868,,AutoLowShotMade,0,,
86,451,,AutoLowShotMade,0,,
86,5492,,AutoLowShotMade,0,,
86,5811,blue,AutoLowShotMade,0,,
86,120,blue,AutoLowShotAtt,0,,
86,3324,,AutoLowShotAtt,0,,
86,868,,AutoLowShotAtt,0,,
86,451,,AutoLowShotAtt,0,,
86,5492,,AutoLowShotAtt,0,,
86,5811,blue,AutoLowShotAtt,0,,
86,120,blue,AutoTotalPoints,10,,
86,3324,,AutoTotalPoints,10,,
86,868,,AutoTotalPoints,10,,
86,451,,AutoTotalPoints,10,,
86,5492,,AutoTotalPoints,10,,
86,5811,blue,AutoTotalPoints,0,,
86,120,blue,TeleOpD1Cross,0,1.0,E_LowBar
86,3324,,TeleOpD1Cross,0,1.0,
86,868,,TeleOpD1Cross,2,1.0,
86,451,,TeleOpD1Cross,0,1.0,
86,5492,,TeleOpD1Cross,1,1.0,
86,5811,blue,TeleOpD1Cross,0,1.0,E_LowBar
86,120,blue,TeleOpD1Att,0,1.0,E_LowBar
86,3324,,TeleOpD1Att,0,1.0,
86,868,,TeleOpD1Att,2,1.0,
86,451,,TeleOpD1Att,0,1.0,
86,5492,,TeleOpD1Att,1,1.0,
86,5811,blue,TeleOpD1Att,0,1.0,E_LowBar
86,120,blue,TeleOpD2Cross,0,2.0, 'C_SallyPort'
86,3324,,TeleOpD2Cross,2,2.0,
86,868,,TeleOpD2Cross,2,2.0,
86,451,,TeleOpD2Cross,0,2.0,
86,5492,,TeleOpD2Cross,2,2.0,
86,5811,blue,TeleOpD2Cross,0,2.0, 'C_SallyPort'
86,120,blue,TeleOpD2Att,0,2.0, 'C_SallyPort'
86,3324,,TeleOpD2Att,3,2.0,
86,868,,TeleOpD2Att,2,2.0,
86,451,,TeleOpD2Att,0,2.0,
86,5492,,TeleOpD2Att,2,2.0,
86,5811,blue,TeleOpD2Att,0,2.0, 'C_SallyPort'
86,120,blue,TeleOpD3Cross,0,3.0, 'B_Moat'
86,3324,,TeleOpD3Cross,1,3.0,
86,868,,TeleOpD3Cross,1,3.0,
86,451,,TeleOpD3Cross,0,3.0,
86,5492,,TeleOpD3Cross,5,3.0,
86,5811,blue,TeleOpD3Cross,0,3.0, 'B_Moat'
86,120,blue,TeleOpD3Att,0,3.0, 'B_Moat'
86,3324,,TeleOpD3Att,1,3.0,
86,868,,TeleOpD3Att,1,3.0,
86,451,,TeleOpD3Att,0,3.0,
86,5492,,TeleOpD3Att,5,3.0,
86,5811,blue,TeleOpD3Att,0,3.0, 'B_Moat'
86,120,blue,TeleOpD4Cross,0,4.0, 'D_RockWall'
86,3324,,TeleOpD4Cross,2,4.0,
86,868,,TeleOpD4Cross,0,4.0,
86,451,,TeleOpD4Cross,1,4.0,
86,5492,,TeleOpD4Cross,0,4.0,
86,5811,blue,TeleOpD4Cross,0,4.0, 'D_RockWall'
86,120,blue,TeleOpD4Att,0,4.0, 'D_RockWall'
86,3324,,TeleOpD4Att,3,4.0,
86,868,,TeleOpD4Att,0,4.0,
86,451,,TeleOpD4Att,1,4.0,
86,5492,,TeleOpD4Att,0,4.0,
86,5811,blue,TeleOpD4Att,0,4.0, 'D_RockWall'
86,120,blue,TeleOpD5Cross,2,5.0, 'A_ChevalDeFrise'
86,3324,,TeleOpD5Cross,0,5.0,
86,868,,TeleOpD5Cross,0,5.0,
86,451,,TeleOpD5Cross,1,5.0,
86,5492,,TeleOpD5Cross,0,5.0,
86,5811,blue,TeleOpD5Cross,0,5.0, 'A_ChevalDeFrise'
86,120,blue,TeleOpD5Att,2,5.0, 'A_ChevalDeFrise'
86,3324,,TeleOpD5Att,0,5.0,
86,868,,TeleOpD5Att,0,5.0,
86,451,,TeleOpD5Att,1,5.0,
86,5492,,TeleOpD5Att,0,5.0,
86,5811,blue,TeleOpD5Att,0,5.0, 'A_ChevalDeFrise'
86,120,blue,ChallengeScale,2,,
86,3324,,ChallengeScale,1,,
86,868,,ChallengeScale,1,,
86,451,,ChallengeScale,1,,
86,5492,,ChallengeScale,1,,
86,5811,blue,ChallengeScale,0,,
86,120,blue,TeleOpHighShotMade,1,,
86,3324,,TeleOpHighShotMade,0,,
86,868,,TeleOpHighShotMade,1,,
86,451,,TeleOpHighShotMade,0,,
86,5492,,TeleOpHighShotMade,0,,
86,5811,blue,TeleOpHighShotMade,0,,
86,120,blue,TeleOpHighShotAtt,4,,
86,3324,,TeleOpHighShotAtt,0,,
86,868,,TeleOpHighShotAtt,2,,
86,451,,TeleOpHighShotAtt,0,,
86,5492,,TeleOpHighShotAtt,0,,
86,5811,blue,TeleOpHighShotAtt,0,,
86,120,blue,TeleOpLowShotMade,0,,
86,3324,,TeleOpLowShotMade,0,,
86,868,,TeleOpLowShotMade,0,,
86,451,,TeleOpLowShotMade,5,,
86,5492,,TeleOpLowShotMade,0,,
86,5811,blue,TeleOpLowShotMade,0,,
86,120,blue,TeleOpLowShotAtt,0,,
86,3324,,TeleOpLowShotAtt,0,,
86,868,,TeleOpLowShotAtt,0,,
86,451,,TeleOpLowShotAtt,6,,
86,5492,,TeleOpLowShotAtt,0,,
86,5811,blue,TeleOpLowShotAtt,0,,
86,120,blue,TeleOpTotalPoints,30,,
86,3324,,TeleOpTotalPoints,30,,
86,868,,TeleOpTotalPoints,35,,
86,451,,TeleOpTotalPoints,25,,
86,5492,,TeleOpTotalPoints,30,,
86,5811,blue,TeleOpTotalPoints,0,,
86,120,blue,TotalPoints,40,,
86,3324,,TotalPoints,40,,
86,868,,TotalPoints,45,,
86,451,,TotalPoints,35,,
86,5492,,TotalPoints,40,,
86,5811,blue,TotalPoints,0,,
86,120,blue,Defense,0,,
86,3324,,Defense,0,,
86,868,,Defense,0,,
86,451,,Defense,0,,
86,5492,,Defense,0,,
86,5811,blue,Defense,0,,
86,120,blue,AutoCross,True,,
86,3324,,AutoCross,True,,
86,868,,AutoCross,True,,
86,451,,AutoCross,True,,
86,5492,,AutoCross,True,,
86,5811,blue,AutoCross,False,,
86,120,blue,AutoReach,False,,
86,3324,,AutoReach,False,,
86,868,,AutoReach,False,,
86,451,,AutoReach,False,,
86,5492,,AutoReach,False,,
86,5811,blue,AutoReach,False,,
86,120,blue,TeleCross,2,,
86,3324,,TeleCross,5,,
86,868,,TeleCross,5,,
86,451,,TeleCross,2,,
86,5492,,TeleCross,5,,
86,5811,blue,TeleCross,0,,
86,120,blue,TeleCrossRaw,2,,
86,3324,,TeleCrossRaw,5,,
86,868,,TeleCrossRaw,5,,
86,451,,TeleCrossRaw,2,,
86,5492,,TeleCrossRaw,8,,
86,5811,blue,TeleCrossRaw,0,,
