Match,Alliance,Team
1,red,120
1,red,3324
1,red,868
1,blue,451
1,blue,5492
1,blue,5811
10,red,2399
10,red,337
10,red,1014
10,blue,1038
10,blue,2408
10,blue,1308
11,red,3010
11,red,5809
11,red,868
11,blue,120
11,blue,1939
11,blue,3492
12,red,4028
12,red,3814
12,red,3484
12,blue,5749
12,blue,1708
12,blue,3324
13,red,451
13,red,2016
13,red,4115
13,blue,5811
13,blue,3777
13,blue,2603
14,red,4521
14,red,144
14,red,4256
14,blue,6084
14,blue,3201
14,blue,2051
15,red,1038
15,red,48
15,red,3138
15,blue,1249
15,blue,4145
15,blue,3260
16,red,3266
16,red,4284
16,red,554
16,blue,63
16,blue,4085
16,blue,5667
17,red,5484
17,red,4213
17,red,5492
17,blue,245
17,blue,279
17,blue,3504
18,red,2040
18,red,5413
18,red,128
18,blue,6185
18,blue,4920
18,blue,6181
19,red,2399
19,red,3821
19,red,3814
19,blue,1985
19,blue,3000
19,blue,2016
2,red,4145
2,red,3010
2,red,3814
2,blue,4085
2,blue,5413
2,blue,3260
20,red,5811
20,red,6084
20,red,3324
20,blue,2051
20,blue,3777
20,blue,3260
21,red,48
21,red,3266
21,red,3201
21,blue,1939
21,blue,5809
21,blue,4028
22,red,245
22,red,337
22,red,144
22,blue,451
22,blue,2603
22,blue,4145
23,red,1014
23,red,554
23,red,3492
23,blue,5484
23,blue,1249
23,blue,2040
24,red,4284
24,red,4521
24,red,4213
24,blue,2399
24,blue,1985
24,blue,5749
25,red,6181
25,red,279
25,red,3138
25,blue,868
25,blue,1308
25,blue,5667
26,red,3000
26,red,5413
26,red,5492
26,blue,128
26,blue,4085
26,blue,1038
27,red,3821
27,red,2408
27,red,4115
27,blue,4920
27,blue,63
27,blue,3484
28,red,3504
28,red,3010
28,red,120
28,blue,4256
28,blue,1708
28,blue,6185
29,red,1939
29,red,3324
29,red,1985
29,blue,554
29,blue,337
29,blue,4145
3,red,1249
3,red,5809
3,red,1308
3,blue,3484
3,blue,4115
3,blue,3201
30,red,2040
30,red,4213
30,red,1308
30,blue,6084
30,blue,2603
30,blue,3138
31,red,4085
31,red,3777
31,red,5492
31,blue,2399
31,blue,3266
31,blue,6181
32,red,3821
32,red,5413
32,red,1014
32,blue,4284
32,blue,4115
32,blue,48
33,red,5811
33,red,5667
33,red,3000
33,blue,3201
33,blue,3010
33,blue,63
34,red,6185
34,red,3484
34,red,1038
34,blue,868
34,blue,279
34,blue,2051
35,red,3492
35,red,4920
35,red,3504
35,blue,245
35,blue,3814
35,blue,4521
36,red,4028
36,red,5749
36,red,2016
36,blue,120
36,blue,144
36,blue,3260
37,red,5484
37,red,4256
37,red,451
37,blue,1249
37,blue,128
37,blue,1708
38,red,2408
38,red,4213
38,red,3000
38,blue,5809
38,blue,6084
38,blue,5413
39,red,6181
39,red,63
39,red,1985
39,blue,3324
39,blue,4145
39,blue,1014
4,red,337
4,red,2408
4,red,6185
4,blue,5484
4,blue,279
4,blue,554
40,red,2399
40,red,1038
40,red,279
40,blue,48
40,blue,2040
40,blue,3492
41,red,3010
41,red,4284
41,red,2603
41,blue,5492
41,blue,3504
41,blue,3484
42,red,3777
42,red,5484
42,red,4028
42,blue,4920
42,blue,868
42,blue,3821
43,red,120
43,red,2408
43,red,5667
43,blue,1249
43,blue,144
43,blue,3814
44,red,1939
44,red,6185
44,red,451
44,blue,1308
44,blue,4521
44,blue,4085
45,red,4115
45,red,337
45,red,3260
45,blue,2051
45,blue,3266
45,blue,4256
46,red,3138
46,red,245
46,red,5749
46,blue,5811
46,blue,128
46,blue,3201
47,red,1708
47,red,5809
47,red,4920
47,blue,554
47,blue,2016
47,blue,48
48,red,4145
48,red,3821
48,red,5667
48,blue,2603
48,blue,120
48,blue,4213
49,red,6185
49,red,279
49,red,1249
49,blue,3814
49,blue,63
49,blue,3777
5,red,5749
5,red,128
5,red,3777
5,blue,5667
5,blue,1014
5,blue,1939
50,red,6181
50,red,3492
50,red,337
50,blue,4028
50,blue,6084
50,blue,3010
51,red,3260
51,red,4284
51,red,3138
51,blue,451
51,blue,128
51,blue,2408
52,red,1939
52,red,3201
52,red,1708
52,blue,1038
52,blue,4115
52,blue,1985
53,red,2040
53,red,1014
53,red,245
53,blue,3324
53,blue,5809
53,blue,2051
54,red,3000
54,red,5484
54,red,1308
54,blue,5492
54,blue,3266
54,blue,5749
55,red,144
55,red,5413
55,red,5811
55,blue,3484
55,blue,554
55,blue,4521
56,red,2016
56,red,4085
56,red,2399
56,blue,4256
56,blue,868
56,blue,3504
57,red,4284
57,red,1939
57,red,6084
57,blue,279
57,blue,4920
57,blue,4028
58,red,120
58,red,245
58,red,128
58,blue,48
58,blue,63
58,blue,337
59,red,4145
59,red,3201
59,red,5492
59,blue,2408
59,blue,3814
59,blue,2040
6,red,245
6,red,3492
6,red,4213
6,blue,6181
6,blue,2016
6,blue,4284
60,red,3010
60,red,4521
60,red,6185
60,blue,3266
60,blue,4213
60,blue,1249
61,red,2399
61,red,3260
61,red,2603
61,blue,1708
61,blue,1014
61,blue,5811
62,red,1038
62,red,2051
62,red,451
62,blue,3504
62,blue,5749
62,blue,554
63,red,3484
63,red,3492
63,red,1985
63,blue,3777
63,blue,3138
63,blue,3000
64,red,4256
64,red,4085
64,red,6181
64,blue,144
64,blue,5809
64,blue,3821
65,red,3324
65,red,2016
65,red,1308
65,blue,5413
65,blue,5667
65,blue,5484
66,red,868
66,red,128
66,red,4521
66,blue,4115
66,blue,6084
66,blue,2040
67,red,1708
67,red,279
67,red,3266
67,blue,4145
67,blue,5811
67,blue,245
68,red,48
68,red,3777
68,red,1985
68,blue,3010
68,blue,2051
68,blue,2408
69,red,3260
69,red,3201
69,red,554
69,blue,2603
69,blue,6181
69,blue,3484
7,red,4028
7,red,63
7,red,1708
7,blue,3138
7,blue,2040
7,blue,4521
70,red,4028
70,red,2399
70,red,5667
70,blue,5809
70,blue,5484
70,blue,6185
71,red,2016
71,red,63
71,red,3821
71,blue,1038
71,blue,1939
71,blue,5492
72,red,4256
72,red,5413
72,red,5749
72,blue,3492
72,blue,451
72,blue,3138
73,red,3000
73,red,120
73,red,1249
73,blue,4920
73,blue,4284
73,blue,3324
74,red,3814
74,red,868
74,red,337
74,blue,1014
74,blue,4213
74,blue,144
75,red,3504
75,red,4085
75,red,2408
75,blue,1308
75,blue,4115
75,blue,4028
76,red,63
76,red,4145
76,red,6084
76,blue,5484
76,blue,3010
76,blue,2399
77,red,5667
77,red,451
77,red,3484
77,blue,4256
77,blue,1939
77,blue,2040
78,red,3324
78,red,48
78,red,279
78,blue,4521
78,blue,3201
78,blue,2016
79,red,4920
79,red,5811
79,red,3814
79,blue,5809
79,blue,1038
79,blue,4284
8,red,2603
8,red,48
8,red,2051
8,blue,3000
8,blue,4920
8,blue,4256
80,red,2051
80,red,3138
80,red,1014
80,blue,4085
80,blue,120
80,blue,3266
81,red,6181
81,red,1708
81,red,3504
81,blue,337
81,blue,5749
81,blue,3000
82,red,4115
82,red,144
82,red,5492
82,blue,3492
82,blue,6185
82,blue,3260
83,red,554
83,red,1308
83,red,128
83,blue,3777
83,blue,3821
83,blue,4213
84,red,2603
84,red,245
84,red,868
84,blue,1985
84,blue,1249
84,blue,5413
85,red,3484
85,red,48
85,red,6084
85,blue,3814
85,blue,4085
85,blue,451
86,red,1038
86,red,6181
86,red,5484
86,blue,5811
86,blue,4521
86,blue,120
87,red,2051
87,red,1708
87,red,4145
87,blue,5492
87,blue,4284
87,blue,5667
88,red,2016
88,red,1014
88,red,4256
88,blue,3000
88,blue,4028
88,blue,6185
89,red,1939
89,red,3266
89,red,2603
89,blue,2408
89,blue,868
89,blue,3492
9,red,144
9,red,6084
9,red,3266
9,blue,3504
9,blue,1985
9,blue,3821
90,red,3777
90,red,3201
90,red,5809
90,blue,5413
90,blue,3504
90,blue,337
91,red,4920
91,red,1985
91,red,3260
91,blue,279
91,blue,63
91,blue,1308
92,red,3821
92,red,5749
92,red,2040
92,blue,4115
92,blue,245
92,blue,3010
93,red,3324
93,red,144
93,red,554
93,blue,2399
93,blue,128
93,blue,3138
94,red,1249
94,red,5811
94,red,48
94,blue,4213
94,blue,2051
94,blue,1939
